Strategy,OTS Trades,OTS CAGR (%),Hansen p,Reject H0,Mean Outperf
S0_SHORT_176tr,176,6.2,0.2690,No,0.0011%
S1_LONG_73tr,73,0.2,0.2645,No,0.0009%
S2_LONG_61tr,61,1.2,0.2840,No,0.0009%
S3_LONG_46tr,46,4.5,0.2595,No,0.0010%
S4_LONG_33tr,33,5.4,0.2460,No,0.0010%
S5_LONG_31tr,31,0.3,0.2610,No,0.0009%
S6_SHORT_24tr,24,2.0,0.2540,No,0.0009%
S7_LONG_22tr,22,2.3,0.2785,No,0.0010%
S8_LONG_22tr,22,2.8,0.2610,No,0.0010%
S9_SHORT_20tr,20,9.6,0.2260,No,0.0012%
S10_LONG_17tr,17,3.3,0.2505,No,0.0010%
S11_SHORT_15tr,15,5.3,0.2565,No,0.0010%
S12_LONG_14tr,14,1.0,0.2720,No,0.0009%
S13_LONG_11tr,11,2.3,0.2695,No,0.0010%
S14_LONG_9tr,9,1.9,0.2605,No,0.0009%
S15_LONG_8tr,8,9.9,0.2055,No,0.0012%
S16_LONG_7tr,7,6.4,0.2325,No,0.0011%
S17_LONG_5tr,5,1.3,0.2620,No,0.0009%
