Seed,Direction,CAGR,Sortino,MaxDD,PF,WinRate,Trades,PBO,PermP,Expression
seed123,SHORT,20.88%,0.656,-3.60%,1.98,0%,26,0.060,0.010,"SHORT WHEN RSI(close, 14) _LT_ 20 AND BBWIDTH(30, 1.5) _GT_ ROC(8) AND VOL_RATIO"
seed123,LONG,18.95%,0.373,-8.74%,1.37,0%,50,0.000,0.001,"LONG WHEN STOCH_K(5) _GT_ RSI(low, 21) AND STOCH_K(5) CROSSES_ABOVE RSI(close, 1"
seed777,SHORT,18.15%,0.850,-2.26%,1.68,0%,45,0.222,0.001,SHORT WHEN ROC(21) CROSSES_ABOVE -2.0 AND STOCH_K(21) _LT_ STOCH_D(5) EXIT TP=3.
seed123,LONG,17.73%,0.343,-8.74%,1.38,0%,44,0.000,0.005,"LONG WHEN STOCH_K(5) _GT_ RSI(low, 9) AND STOCH_K(5) CROSSES_ABOVE RSI(close, 14"
seed42,LONG,11.21%,0.140,-5.83%,1.57,0%,17,0.060,0.019,LONG WHEN MFI(14) _GT_ 90 AND STOCH_K(21) CROSSES_ABOVE STOCH_D(9) EXIT TP=8.0 S
seed42,LONG,9.90%,0.089,-1.60%,3.83,0%,7,0.004,0.022,LONG WHEN MFI(14) _LT_ MFI(7) AND MFI(14) CROSSES_BELOW ADX(7) AND VOL_RATIO(10)
seed999,SHORT,8.04%,0.269,-2.76%,1.96,0%,14,0.234,0.035,SHORT WHEN PRICE_POS(34) _LT_ VOL_RATIO(5) AND ADX(7) CROSSES_ABOVE MFI(10) AND 
seed42,LONG,7.56%,0.244,-3.83%,1.23,0%,52,0.103,0.039,LONG WHEN MFI(10) _GT_ 90 AND STOCH_K(5) _LT_ MFI(21) EXIT TP=5.0 SL=1.5
seed314,LONG,6.61%,0.242,-1.72%,2.20,0%,12,0.048,0.017,"LONG WHEN PRICE_POS(5) _GT_ BBWIDTH(20, 1.5) AND STOCH_K(14) _LT_ ADX(21) EXIT T"
seed42,LONG,5.75%,0.111,-6.73%,1.14,0%,57,0.135,0.007,"LONG WHEN MFI(7) _GT_ MFI(14) AND ROC(5) CROSSES_BELOW BBWIDTH(20, 1.5) AND STOC"
seed2024,SHORT,5.64%,0.549,-0.75%,3.60,0%,7,0.321,0.000,"SHORT WHEN BBWIDTH(14, 2.5) _GT_ PCT_B(14, 2.5) AND STOCH_D(9) _GT_ 50 AND PCT_B"
seed314,LONG,5.33%,0.144,-5.45%,1.13,0%,62,0.000,0.006,"LONG WHEN RSI(close, 21) _GT_ 70 AND ATR_PCT(21) _LT_ 1.5 AND RSI(high, 21) _GT_"
seed123,LONG,3.91%,0.122,-0.76%,2.15,0%,8,0.056,0.041,LONG WHEN STOCH_K(14) CROSSES_BELOW STOCH_D(5) AND ATR_PCT(21) _GT_ VOL_RATIO(50
seed777,LONG,2.71%,0.191,-2.81%,1.32,0%,15,0.048,0.001,"LONG WHEN ROC(3) CROSSES_ABOVE 1.0 AND STOCH_K(9) _LT_ RSI(high, 7) EXIT TP=4.0 "
seed314,LONG,1.69%,0.074,-11.61%,1.05,0%,86,0.024,0.002,LONG WHEN PRICE_POS(8) CROSSES_ABOVE 2.0 EXIT TP=8.0 SL=1.5
seed999,LONG,1.69%,0.074,-11.61%,1.05,0%,86,0.024,0.002,LONG WHEN PRICE_POS(8) CROSSES_ABOVE 2.0 EXIT TP=8.0 SL=1.5
seed314,LONG,1.66%,0.061,-13.89%,1.04,0%,82,0.004,0.007,LONG WHEN PRICE_POS(8) CROSSES_BELOW 2.0 EXIT TP=8.0 SL=2.0
seed999,LONG,1.35%,0.047,-9.33%,1.04,0%,67,0.048,0.025,LONG WHEN PRICE_POS(5) CROSSES_BELOW 1.5 EXIT TP=6.0 SL=1.5
seed314,SHORT,1.05%,0.055,-6.08%,1.03,0%,90,0.325,0.000,SHORT WHEN PRICE_POS(8) CROSSES_ABOVE -2.0 EXIT SL=1.0 TRAIL=5.0
seed2024,SHORT,0.47%,0.043,-1.07%,1.12,0%,5,0.123,0.004,"SHORT WHEN ROC(3) CROSSES_ABOVE -1.0 AND PCT_B(20, 2.5) _LT_ 1.0 AND MFI(10) CRO"
seed777,SHORT,0.31%,0.009,-2.77%,1.02,0%,68,0.183,0.000,"SHORT WHEN MACD_NORM(8, 26, 5) _GT_ VOL_RATIO(50) EXIT TP=1.0 SL=2.5"
